time,pv_power_w,ghi,sun_alt,temp_air,wind_speed,pv_power_kw
2020-01-04 02:00:00+00:00,0.0,0.0,0.0,-4.09,1.66,0.0
2020-01-04 03:00:00+00:00,0.0,0.0,0.0,-4.25,1.66,0.0
2020-01-04 04:00:00+00:00,0.0,0.0,0.0,-4.35,1.66,0.0
2020-01-04 05:00:00+00:00,0.0,0.0,0.0,-4.44,1.66,0.0
2020-01-04 06:00:00+00:00,0.0,0.0,0.0,-4.5,1.66,0.0
2020-01-04 07:00:00+00:00,1507.8,353.29,9.31,-4.07,1.59,1.5078
2020-01-04 08:00:00+00:00,2389.05,571.72,16.71,0.97,1.17,2.38905
2020-01-04 09:00:00+00:00,2409.25,590.07,22.1,5.15,0.97,2.40925
2020-01-04 10:00:00+00:00,2652.3,665.34,24.93,7.71,0.97,2.6523000000000003
2020-01-04 11:00:00+00:00,2781.75,706.22,24.87,9.03,1.03,2.78175
2020-01-04 12:00:00+00:00,2043.3,504.12,21.92,9.39,1.24,2.0433
2020-01-04 13:00:00+00:00,1280.6,314.38,16.44,8.68,1.1,1.2806
2020-01-04 14:00:00+00:00,567.85,148.84,8.96,7.22,1.24,0.5678500000000001
2020-01-04 15:00:00+00:00,0.0,0.0,0.0,4.83,1.38,0.0
2020-01-04 16:00:00+00:00,0.0,0.0,0.0,3.19,1.52,0.0
2020-01-04 17:00:00+00:00,0.0,0.0,0.0,2.21,1.59,0.0
2020-01-04 18:00:00+00:00,0.0,0.0,0.0,1.59,1.59,0.0
2020-01-04 19:00:00+00:00,0.0,0.0,0.0,1.25,1.59,0.0
2020-01-04 20:00:00+00:00,0.0,0.0,0.0,1.08,1.59,0.0
2020-01-04 21:00:00+00:00,0.0,0.0,0.0,1.05,1.45,0.0
2020-01-04 22:00:00+00:00,0.0,0.0,0.0,0.6,1.52,0.0
2020-01-04 23:00:00+00:00,0.0,0.0,0.0,-0.12,1.59,0.0
2020-01-05 00:00:00+00:00,0.0,0.0,0.0,-0.24,1.52,0.0
2020-01-05 01:00:00+00:00,0.0,0.0,0.0,0.19,1.38,0.0
2020-01-05 02:00:00+00:00,0.0,0.0,0.0,0.12,1.31,0.0
2020-01-05 03:00:00+00:00,0.0,0.0,0.0,0.13,1.24,0.0
2020-01-05 04:00:00+00:00,0.0,0.0,0.0,0.26,1.24,0.0
2020-01-05 05:00:00+00:00,0.0,0.0,0.0,0.14,1.24,0.0
2020-01-05 06:00:00+00:00,0.0,0.0,0.0,0.13,1.24,0.0
2020-01-05 07:00:00+00:00,290.55,81.6,9.34,0.54,0.97,0.29055000000000003
2020-01-05 08:00:00+00:00,656.0,163.74,16.76,1.39,0.97,0.656
2020-01-05 09:00:00+00:00,2019.65,479.61,22.17,2.67,1.66,2.01965
2020-01-05 10:00:00+00:00,357.15,97.44,25.03,2.96,2.69,0.35714999999999997
2020-01-05 11:00:00+00:00,693.5,172.46,24.99,2.79,4.0,0.6935
2020-01-05 12:00:00+00:00,938.75,225.83,22.05,2.43,4.0,0.93875
2020-01-05 13:00:00+00:00,427.4,112.62,16.58,2.13,4.0,0.4274
2020-01-05 14:00:00+00:00,459.25,119.96,9.11,1.21,3.59,0.45925
2020-01-05 15:00:00+00:00,0.0,0.0,0.0,0.17,3.86,0.0
2020-01-05 16:00:00+00:00,0.0,0.0,0.0,-0.53,3.45,0.0
2020-01-05 17:00:00+00:00,0.0,0.0,0.0,-0.64,3.45,0.0
2020-01-05 18:00:00+00:00,0.0,0.0,0.0,-0.98,3.52,0.0
2020-01-05 19:00:00+00:00,0.0,0.0,0.0,-1.29,3.24,0.0
2020-01-05 20:00:00+00:00,0.0,0.0,0.0,-1.38,3.31,0.0
2020-01-05 21:00:00+00:00,0.0,0.0,0.0,-1.46,3.17,0.0
2020-01-05 22:00:00+00:00,0.0,0.0,0.0,-1.68,3.1,0.0
2020-01-05 23:00:00+00:00,0.0,0.0,0.0,-1.92,3.03,0.0
2020-01-06 00:00:00+00:00,0.0,0.0,0.0,-1.95,3.17,0.0
2020-01-06 01:00:00+00:00,0.0,0.0,0.0,-2.12,3.17,0.0
2020-01-06 02:00:00+00:00,0.0,0.0,0.0,-2.16,3.31,0.0
2020-01-06 03:00:00+00:00,0.0,0.0,0.0,-2.42,3.1,0.0
2020-01-06 04:00:00+00:00,0.0,0.0,0.0,-2.52,3.1,0.0
2020-01-06 05:00:00+00:00,0.0,0.0,0.0,-2.67,3.03,0.0
2020-01-06 06:00:00+00:00,0.0,0.0,0.0,-2.82,2.97,0.0
2020-01-06 07:00:00+00:00,1334.25,312.68,9.37,-2.45,3.45,1.33425
2020-01-06 08:00:00+00:00,2554.8,588.09,16.82,-1.98,4.07,2.5548
2020-01-06 09:00:00+00:00,2885.7,668.76,22.25,-1.09,4.41,2.8857
2020-01-06 10:00:00+00:00,3171.55,742.4,25.14,-0.3,4.62,3.1715500000000003
2020-01-06 11:00:00+00:00,2264.6,521.51,25.11,0.09,4.69,2.2645999999999997
2020-01-06 12:00:00+00:00,783.6,189.91,22.19,0.27,4.48,0.7836000000000001
2020-01-06 13:00:00+00:00,2062.25,476.17,16.73,0.17,4.14,2.06225
2020-01-06 14:00:00+00:00,890.35,215.46,9.26,0.09,3.79,0.89035
2020-01-06 15:00:00+00:00,0.0,0.0,0.0,-0.56,3.24,0.0
2020-01-06 16:00:00+00:00,0.0,0.0,0.0,-1.22,3.1,0.0
2020-01-06 17:00:00+00:00,0.0,0.0,0.0,-1.48,2.69,0.0
2020-01-06 18:00:00+00:00,0.0,0.0,0.0,-1.77,2.55,0.0
2020-01-06 19:00:00+00:00,0.0,0.0,0.0,-1.93,2.55,0.0
2020-01-06 20:00:00+00:00,0.0,0.0,0.0,-2.04,2.48,0.0
2020-01-06 21:00:00+00:00,0.0,0.0,0.0,-2.29,2.34,0.0
2020-01-06 22:00:00+00:00,0.0,0.0,0.0,-2.64,2.14,0.0
2020-01-06 23:00:00+00:00,0.0,0.0,0.0,-2.72,2.14,0.0
2020-01-07 00:00:00+00:00,0.0,0.0,0.0,-3.48,1.93,0.0
2020-01-07 01:00:00+00:00,0.0,0.0,0.0,-3.96,1.86,0.0
2020-01-07 02:00:00+00:00,0.0,0.0,0.0,-4.4,1.79,0.0
2020-01-07 03:00:00+00:00,0.0,0.0,0.0,-4.72,1.79,0.0
2020-01-07 04:00:00+00:00,0.0,0.0,0.0,-4.92,1.72,0.0
2020-01-07 05:00:00+00:00,0.0,0.0,0.0,-5.3,1.72,0.0
2020-01-07 06:00:00+00:00,0.0,0.0,0.0,-5.46,1.66,0.0
2020-01-07 07:00:00+00:00,1516.55,355.21,9.41,-3.93,1.79,1.51655
2020-01-07 08:00:00+00:00,2548.15,595.58,16.88,-2.14,2.28,2.54815
2020-01-07 09:00:00+00:00,3131.95,748.16,22.34,-1.02,2.34,3.13195
2020-01-07 10:00:00+00:00,3386.35,822.22,25.25,0.17,2.41,3.3863499999999997
2020-01-07 11:00:00+00:00,3365.8,820.65,25.25,1.11,2.41,3.3658
2020-01-07 12:00:00+00:00,3078.45,744.41,22.34,1.68,2.34,3.0784499999999997
2020-01-07 13:00:00+00:00,2458.9,585.23,16.88,1.84,2.21,2.4589000000000003
2020-01-07 14:00:00+00:00,1464.55,351.63,9.41,1.46,1.86,1.46455
2020-01-07 15:00:00+00:00,0.0,0.0,0.0,0.24,1.52,0.0
2020-01-07 16:00:00+00:00,0.0,0.0,0.0,-1.69,1.52,0.0
2020-01-07 17:00:00+00:00,0.0,0.0,0.0,-3.18,1.52,0.0
2020-01-07 18:00:00+00:00,0.0,0.0,0.0,-3.7,1.45,0.0
2020-01-07 19:00:00+00:00,0.0,0.0,0.0,-3.73,1.45,0.0
2020-01-07 20:00:00+00:00,0.0,0.0,0.0,-3.79,1.38,0.0
2020-01-07 21:00:00+00:00,0.0,0.0,0.0,-3.84,1.38,0.0
2020-01-07 22:00:00+00:00,0.0,0.0,0.0,-3.96,1.38,0.0
2020-01-07 23:00:00+00:00,0.0,0.0,0.0,-4.05,1.38,0.0
2020-01-08 00:00:00+00:00,0.0,0.0,0.0,-4.12,1.38,0.0
2020-01-08 01:00:00+00:00,0.0,0.0,0.0,-4.2,1.38,0.0
2020-01-08 02:00:00+00:00,0.0,0.0,0.0,-4.34,1.38,0.0
2020-01-08 03:00:00+00:00,0.0,0.0,0.0,-4.5,1.38,0.0
2020-01-08 04:00:00+00:00,0.0,0.0,0.0,-4.62,1.45,0.0
2020-01-08 05:00:00+00:00,0.0,0.0,0.0,-4.66,1.45,0.0
2020-01-08 06:00:00+00:00,0.0,0.0,0.0,-4.69,1.45,0.0
2020-01-08 07:00:00+00:00,1531.05,357.85,9.46,-4.89,1.45,1.53105
2020-01-08 08:00:00+00:00,2486.75,587.74,16.95,-1.43,1.45,2.48675
2020-01-08 09:00:00+00:00,3086.2,745.68,22.44,0.13,1.86,3.0862
2020-01-08 10:00:00+00:00,3335.0,819.58,25.37,1.55,2.0,3.335
2020-01-08 11:00:00+00:00,3319.0,819.37,25.39,2.5,2.0,3.319
2020-01-08 12:00:00+00:00,3016.75,737.47,22.49,3.05,1.93,3.01675
2020-01-08 13:00:00+00:00,2451.6,589.51,17.04,3.17,1.86,2.4516
2020-01-08 14:00:00+00:00,1448.95,350.67,9.58,2.62,1.38,1.44895
2020-01-08 15:00:00+00:00,0.0,0.0,0.0,1.39,1.38,0.0
2020-01-08 16:00:00+00:00,0.0,0.0,0.0,-0.9,1.45,0.0
2020-01-08 17:00:00+00:00,0.0,0.0,0.0,-2.42,1.45,0.0
2020-01-08 18:00:00+00:00,0.0,0.0,0.0,-3.15,1.45,0.0
2020-01-08 19:00:00+00:00,0.0,0.0,0.0,-3.51,1.38,0.0
2020-01-08 20:00:00+00:00,0.0,0.0,0.0,-3.42,1.24,0.0
2020-01-08 21:00:00+00:00,0.0,0.0,0.0,-3.37,1.17,0.0
2020-01-08 22:00:00+00:00,0.0,0.0,0.0,-3.21,1.1,0.0
2020-01-08 23:00:00+00:00,0.0,0.0,0.0,-3.27,1.03,0.0
2020-01-09 00:00:00+00:00,0.0,0.0,0.0,-3.24,1.03,0.0
2020-01-09 01:00:00+00:00,0.0,0.0,0.0,-3.89,1.1,0.0
2020-01-09 02:00:00+00:00,0.0,0.0,0.0,-4.21,1.17,0.0
2020-01-09 03:00:00+00:00,0.0,0.0,0.0,-3.95,1.1,0.0
2020-01-09 04:00:00+00:00,0.0,0.0,0.0,-3.95,1.03,0.0
2020-01-09 05:00:00+00:00,0.0,0.0,0.0,-4.0,1.1,0.0
2020-01-09 06:00:00+00:00,0.0,0.0,0.0,-4.08,1.1,0.0
2020-01-09 07:00:00+00:00,1513.1,354.16,9.52,-4.9,1.24,1.5131
2020-01-09 08:00:00+00:00,2411.1,573.59,17.03,-1.08,0.9,2.4111
2020-01-09 09:00:00+00:00,2977.95,736.61,22.54,1.78,0.76,2.97795
2020-01-09 10:00:00+00:00,3236.9,824.38,25.49,3.78,0.62,3.2369
2020-01-09 11:00:00+00:00,3152.95,809.82,25.54,5.21,0.41,3.1529499999999997
2020-01-09 12:00:00+00:00,2853.25,723.24,22.65,6.04,0.41,2.85325
2020-01-09 13:00:00+00:00,2346.05,580.45,17.21,6.22,0.62,2.34605
2020-01-09 14:00:00+00:00,1475.9,364.77,9.74,5.69,0.48,1.4759
2020-01-09 15:00:00+00:00,0.0,0.0,0.0,4.68,0.21,0.0
2020-01-09 16:00:00+00:00,0.0,0.0,0.0,3.58,0.83,0.0
2020-01-09 17:00:00+00:00,0.0,0.0,0.0,2.02,1.17,0.0
2020-01-09 18:00:00+00:00,0.0,0.0,0.0,-0.6,1.38,0.0
2020-01-09 19:00:00+00:00,0.0,0.0,0.0,-2.69,1.52,0.0
2020-01-09 20:00:00+00:00,0.0,0.0,0.0,-3.8,1.59,0.0
2020-01-09 21:00:00+00:00,0.0,0.0,0.0,-4.1,1.45,0.0
2020-01-09 22:00:00+00:00,0.0,0.0,0.0,-4.14,1.52,0.0
2020-01-09 23:00:00+00:00,0.0,0.0,0.0,-4.26,1.52,0.0
2020-01-10 00:00:00+00:00,0.0,0.0,0.0,-4.43,1.45,0.0
2020-01-10 01:00:00+00:00,0.0,0.0,0.0,-4.36,1.45,0.0
2020-01-10 02:00:00+00:00,0.0,0.0,0.0,-4.3,1.45,0.0
2020-01-10 03:00:00+00:00,0.0,0.0,0.0,-4.22,1.45,0.0
2020-01-10 04:00:00+00:00,0.0,0.0,0.0,-4.17,1.45,0.0
2020-01-10 05:00:00+00:00,0.0,0.0,0.0,-4.04,1.45,0.0
2020-01-10 06:00:00+00:00,0.0,0.0,0.0,-3.94,1.45,0.0
